2.3175900000000000e+00, 4.9687168258629516e-01, 5.4085547085547088e+00, 5.9054263911410043e+00, 5.4655885084492473e-01, 6.4959690302551047e+00, -2.7999999999999998e+00, 1.0970944571862311e+00, 5.9494101794101804e+00
2.2923072000000002e+00, 5.1094710562080881e-01, 5.2593017633017647e+00, 5.7702488689225735e+00, 5.6204181618288973e-01, 6.3472737558148316e+00, -2.7471999999999999e+00, 1.0969598801751870e+00, 5.7852319396319416e+00
2.2670243999999999e+00, 5.2512998047763648e-01, 5.1100488180488171e+00, 5.6351787985264536e+00, 5.7764297852540014e-01, 6.1986966783790995e+00, -2.6943999999999999e+00, 1.0968193047982007e+00, 5.6210536998536993e+00
2.2417416000000001e+00, 5.3940287662426223e-01, 4.9607958727958739e+00, 5.5001987494201359e+00, 5.9334316428668854e-01, 6.0502186243621496e+00, -2.6415999999999999e+00, 1.0966724325559247e+00, 5.4568754600754614e+00
2.2164587999999998e+00, 5.5374851851669027e-01, 4.8115429275429262e+00, 5.3652914460596168e+00, 6.0912337036835940e-01, 5.9018205906655785e+00, -2.5888000000000000e+00, 1.0965189459145166e+00, 5.2926972202972191e+00
2.1911760000000000e+00, 5.6815000385130210e-01, 4.6622899822899821e+00, 5.2304399861412847e+00, 6.2496500423643231e-01, 5.7534839847554125e+00, -2.5360000000000000e+00, 1.0963585067110242e+00, 5.1285189805189804e+00
2.1658932000000002e+00, 5.8259099965404171e-01, 4.5130370370370381e+00, 5.0956280366910800e+00, 6.4085009961944595e-01, 5.6051908403601889e+00, -2.4832000000000001e+00, 1.0961907543892029e+00, 4.9643407407407425e+00
2.1406103999999999e+00, 5.9705591085566845e-01, 4.3637840917840904e+00, 4.9608400026397588e+00, 6.5676150194123539e-01, 5.4569240029037358e+00, -2.4303999999999997e+00, 1.0960153040436709e+00, 4.8001625009625002e+00
2.1153276000000001e+00, 6.1153004002304501e-01, 4.2145311465311472e+00, 4.8260611865541918e+00, 6.7268304402534951e-01, 5.3086673052096121e+00, -2.3775999999999997e+00, 1.0958317442468315e+00, 4.6359842611842623e+00
2.0900448000000003e+00, 6.2600065577760211e-01, 4.0652782012782023e+00, 4.6912788570558046e+00, 6.8860072135536243e-01, 5.1604067427613849e+00, -2.3247999999999998e+00, 1.0956396346289530e+00, 4.4718060214060227e+00
2.0647620000000000e+00, 6.4045637364324448e-01, 3.9160252560252560e+00, 4.5564816296685002e+00, 7.0450201100756904e-01, 5.0121297926353510e+00, -2.2719999999999998e+00, 1.0954385031769609e+00, 4.3076277816277821e+00
2.0394792000000002e+00, 6.5488476692974540e-01, 3.7667723107723114e+00, 4.4216570777020570e+00, 7.2037324362272004e-01, 4.8638227854722622e+00, -2.2191999999999998e+00, 1.0952278432117666e+00, 4.1434495418495425e+00
2.0141963999999999e+00, 6.6927220547300392e-01, 3.6175193655193647e+00, 4.2867915709923690e+00, 7.3619942602030441e-01, 4.7154707280916064e+00, -2.1663999999999999e+00, 1.0950071099970971e+00, 3.9792713020713015e+00
1.9889136000000001e+00, 6.8360390216553046e-01, 3.4682664202664206e+00, 4.1518703224319511e+00, 7.5196429238208362e-01, 4.5670573546751463e+00, -2.1135999999999999e+00, 1.0947757169245491e+00, 3.8150930622930628e+00
1.9636308000000000e+00, 6.9786399311270231e-01, 3.3190134750134752e+00, 4.0168774681261779e+00, 7.6765039242397259e-01, 4.4185652149387957e+00, -2.0608000000000000e+00, 1.0945330312097137e+00, 3.6509148225148231e+00
1.9383480000000000e+00, 7.1203565122249091e-01, 3.1697605297605294e+00, 3.8817961809830202e+00, 7.8323921634474003e-01, 4.2699757990813225e+00, -2.0080000000000000e+00, 1.0942783690221842e+00, 3.4867365827365826e+00
1.9130652000000001e+00, 7.2610123032675622e-01, 3.0205075845075853e+00, 3.7466088148343415e+00, 7.9871135335943189e-01, 4.1212696963177766e+00, -1.9552000000000000e+00, 1.0940109899577062e+00, 3.3225583429583443e+00
1.8877824000000001e+00, 7.4004243395761438e-01, 2.8712546392546399e+00, 3.6112970732122545e+00, 8.1404667735337588e-01, 3.9724267805334801e+00, -1.9024000000000001e+00, 1.0937300907428957e+00, 3.1583801031801042e+00
1.8624996000000000e+00, 7.5384049998812219e-01, 2.7220016940016940e+00, 3.4758421939898163e+00, 8.2922454998693451e-01, 3.8234264133887983e+00, -1.8495999999999999e+00, 1.0934347980410979e+00, 2.9942018634018637e+00
1.8372168000000000e+00, 7.6747638986845135e-01, 2.5727487487487486e+00, 3.3402251386171997e+00, 8.4422402885529657e-01, 3.6742476524789200e+00, -1.7968000000000000e+00, 1.0931241602009338e+00, 2.8300236236236236e+00
1.8119339999999999e+00, 7.8093096950596175e-01, 2.4234958034958032e+00, 3.2044267730017650e+00, 8.5902406645655804e-01, 3.5248694503019413e+00, -1.7440000000000000e+00, 1.0927971377555707e+00, 2.6658453838453835e+00
1.7866512000000001e+00, 7.9418516821657115e-01, 2.2742428582428591e+00, 3.0684280264594301e+00, 8.7360368503822838e-01, 3.3752708291053737e+00, -1.6912000000000000e+00, 1.0924525924388646e+00, 2.5016671440671452e+00
1.7613684000000001e+00, 8.0722010272595912e-01, 2.1249899129899132e+00, 2.9322100157158726e+00, 8.8794211299855508e-01, 3.2254310172874598e+00, -1.6384000000000001e+00, 1.0920892744319051e+00, 2.3374889042889047e+00
1.7360856000000000e+00, 8.2001715484606408e-01, 1.9757369677369678e+00, 2.7957541225830318e+00, 9.0201887033067052e-01, 3.0753295348413352e+00, -1.5855999999999999e+00, 1.0917058074868686e+00, 2.1733106645106646e+00
