HipExtensionRight
KneeExtensionRight
AnkleExtensionRight
HipExtensionLeft
KneeExtensionLeft
AnkleExtensionLeft
HipFlexionRight
KneeFlexionRight
AnkleFlexionRight
HipFlexionLeft
KneeFlexionLeft
AnkleFlexionLeft
