lambdaTA, lambdaPE, lambdaTV, tiso, angleScalingTA, omegaMax, anglePE, idx
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.325073828340214632e+01,1.000000000000000000e+00,9.023350000000000648e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.441134866957699323e+01,1.000000000000000000e+00,-1.921610000000000085e+01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.287873855954723723e+01,1.000000000000000000e+00,1.176459999999999972e+01,0.000000000000000000e+00,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.947087274493129883e+01,1.000000000000000000e+00,9.023350000000000648e+00,0.000000000000000000e+00,3.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.166316015022977481e+01,1.000000000000000000e+00,-1.921610000000000085e+01,0.000000000000000000e+00,4.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.117350726986790832e+01,1.000000000000000000e+00,1.176459999999999972e+01,0.000000000000000000e+00,5.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.679656567669204392e+01,1.000000000000000000e+00,-9.180429999999999424e+00,0.000000000000000000e+00,6.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.002124672047944642e+00,1.000000000000000000e+00,1.663299999999999912e+01,0.000000000000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.215694229924084269e+00,1.000000000000000000e+00,-1.727459999999999951e+01,0.000000000000000000e+00,8.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.476169473075043825e+01,1.000000000000000000e+00,-9.180429999999999424e+00,0.000000000000000000e+00,9.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.099120391263554097e+00,1.000000000000000000e+00,1.663299999999999912e+01,0.000000000000000000e+00,1.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.082024447352337049e+00,1.000000000000000000e+00,-1.727459999999999951e+01,0.000000000000000000e+00,1.100000000000000000e+01
